nom,prenom,idCopie,groupeTD,groupeTP,Note,01-justification-modele-algo,TICKED:01-justification-modele-algo,02-codage-modele-algo,TICKED:02-codage-modele-algo,03-qualite-nommage-variable,TICKED:03-qualite-nommage-variable,04-precision-typage-variables,TICKED:04-precision-typage-variables,05-respect-conventions-nommage,TICKED:05-respect-conventions-nommage,06-pertinence-commentaires,TICKED:06-pertinence-commentaires,07-choix-structures-controle,TICKED:07-choix-structures-controle,08-indentation,TICKED:08-indentation,groupe.eval[1],TICKED:groupe.eval[1],groupe.eval[2],TICKED:groupe.eval[2],groupe.eval
nomEtudiant_001,prenomEtudiant_001,1-1,1,1,0,0,E,0,F,0,F,0,F,0,G,0,G,0,E,0,G,0,,0,B,1
nomEtudiant_001,prenomEtudiant_001,1-2,1,1,0,0,D,0,E,0,F,0,F,0,G,0,F,0,F,0,E,0,,0,D,3
nomEtudiant_001,prenomEtudiant_001,1-3,1,1,0,0,F,0,D,0,G,0,F,0,F,0,E,0,F,0,G,0,,0,E,4
nomEtudiant_002,prenomEtudiant_002,2-1,1,1,0,0,F,0,F,0,F,0,E,0,F,0,F,0,G,0,G,0,,0,B,1
nomEtudiant_002,prenomEtudiant_002,2-2,1,1,0,0,F,0,F,0,F,0,F,0,G,0,F,0,F,0,G,0,,0,C,2
nomEtudiant_002,prenomEtudiant_002,2-3,1,1,0,0,F,0,F,0,E,0,E,0,G,0,E,0,E,0,G,0,,0,D,3
nomEtudiant_003,prenomEtudiant_003,3-1,1,2,0,0,E,0,B,0,G,0,G,0,G,0,F,0,F,0,G,0,,0,B,1
nomEtudiant_003,prenomEtudiant_003,3-2,1,2,0,0,D,0,F,0,F,0,D,0,G,0,C,0,G,0,F,0,,0,E,4
nomEtudiant_003,prenomEtudiant_003,3-3,1,2,0,0,B,0,F,0,D,0,E,0,F,0,D,0,G,0,G,0,I,0,B,18
nomEtudiant_004,prenomEtudiant_004,4-1,1,1,0,0,G,0,E,0,G,0,F,0,G,0,F,0,G,0,G,0,,0,B,1
nomEtudiant_004,prenomEtudiant_004,4-2,1,1,0,0,G,0,G,0,G,0,G,0,G,0,G,0,G,0,G,0,,0,C,2
nomEtudiant_004,prenomEtudiant_004,4-3,1,1,0,0,F,0,G,0,G,0,D,0,G,0,E,0,G,0,E,0,,0,E,4
nomEtudiant_005,prenomEtudiant_005,5-1,3,5,0,0,C,0,E,0,E,0,D,0,G,0,E,0,F,0,E,0,G,0,B,16
nomEtudiant_005,prenomEtudiant_005,5-2,3,5,0,0,E,0,D,0,E,0,E,0,F,0,D,0,C,0,F,0,H,0,B,17
nomEtudiant_005,prenomEtudiant_005,5-3,3,5,0,0,F,0,F,0,F,0,G,0,G,0,F,0,G,0,F,0,J,0,B,19
nomEtudiant_006,prenomEtudiant_006,6-1,1,2,0,0,F,0,G,0,G,0,F,0,G,0,G,0,F,0,G,0,,0,F,5
nomEtudiant_006,prenomEtudiant_006,6-2,1,2,0,0,F,0,F,0,E,0,D,0,F,0,B,0,G,0,C,0,,0,G,6
nomEtudiant_006,prenomEtudiant_006,6-3,1,2,0,0,G,0,G,0,F,0,F,0,G,0,G,0,G,0,G,0,,0,H,7
nomEtudiant_007,prenomEtudiant_007,7-1,1,1,0,0,E,0,F,0,F,0,F,0,D,0,D,0,E,0,F,0,,0,B,1
nomEtudiant_007,prenomEtudiant_007,7-2,1,1,0,0,G,0,F,0,F,0,E,0,G,0,G,0,E,0,F,0,,0,C,2
nomEtudiant_007,prenomEtudiant_007,7-3,1,1,0,0,E,0,E,0,F,0,F,0,F,0,D,0,F,0,G,0,,0,D,3
nomEtudiant_008,prenomEtudiant_008,8-1,2,4,0,0,F,0,D,0,E,0,G,0,G,0,C,0,D,0,E,0,E,0,B,14
nomEtudiant_008,prenomEtudiant_008,8-2,2,4,0,0,B,0,B,0,F,0,F,0,G,0,D,0,C,0,G,0,F,0,B,15
nomEtudiant_008,prenomEtudiant_008,8-3,2,4,"2,5",1,A,0,B,0,G,0,D,0,G,0,E,0,G,0,G,0,C,0,B,12
nomEtudiant_009,prenomEtudiant_009,9-1,1,2,0,0,F,0,F,0,E,0,G,0,G,0,F,0,E,0,G,0,,0,F,5
nomEtudiant_009,prenomEtudiant_009,9-2,1,2,0,0,G,0,G,0,G,0,G,0,G,0,G,0,G,0,G,0,,0,H,7
nomEtudiant_009,prenomEtudiant_009,9-3,1,2,0,0,E,0,E,0,G,0,G,0,G,0,G,0,G,0,F,0,,0,I,8
nomEtudiant_010,prenomEtudiant_010,10-1,2,4,0,0,E,0,F,0,E,0,F,0,E,0,E,0,D,0,F,0,E,0,B,14
nomEtudiant_010,prenomEtudiant_010,10-2,2,4,0,0,D,0,D,0,D,0,E,0,E,0,D,0,E,0,F,0,F,0,B,15
nomEtudiant_010,prenomEtudiant_010,10-3,2,4,0,0,D,0,D,0,E,0,E,0,E,0,D,0,C,0,F,0,D,0,B,13
nomEtudiant_011,prenomEtudiant_011,11-1,1,2,0,0,D,0,G,0,F,0,F,0,G,0,F,0,G,0,G,0,,0,B,1
nomEtudiant_011,prenomEtudiant_011,11-2,1,2,0,0,B,0,C,0,F,0,D,0,G,0,B,0,E,0,F,0,,0,E,4
