nom,prenom,Statut,idCopie,groupeTD,groupeTP,groupeEval,01-justification-modele-algo,02-codage-modele-algo,03-qualite-nommage-variable,04-precision-typage-variables,05-respect-conventions-nommage,06-pertinence-commentaires,07-choix-structures-controle,08-indentation
nomEtudiant_001,prenomEtudiant_001,PRES,1-1,1,1,1,4,5,5,5,6,6,4,6
nomEtudiant_001,prenomEtudiant_001,PRES,1-2,1,1,3,3,4,5,5,6,5,5,4
nomEtudiant_001,prenomEtudiant_001,PRES,1-3,1,1,4,5,3,6,5,5,4,5,6
nomEtudiant_002,prenomEtudiant_002,PRES,2-1,1,1,1,5,5,5,4,5,5,6,6
nomEtudiant_002,prenomEtudiant_002,PRES,2-2,1,1,2,5,5,5,5,6,5,5,6
nomEtudiant_002,prenomEtudiant_002,PRES,2-3,1,1,3,5,5,4,4,6,4,4,6
nomEtudiant_003,prenomEtudiant_003,PRES,3-1,1,2,1,4,1,6,6,6,5,5,6
nomEtudiant_003,prenomEtudiant_003,PRES,3-2,1,2,4,3,5,5,3,6,2,6,5
nomEtudiant_003,prenomEtudiant_003,PRES,3-3,1,2,18,1,5,3,4,5,3,6,6
nomEtudiant_004,prenomEtudiant_004,PRES,4-1,1,1,1,6,4,6,5,6,5,6,6
nomEtudiant_004,prenomEtudiant_004,PRES,4-2,1,1,2,6,6,6,6,6,6,6,6
nomEtudiant_004,prenomEtudiant_004,PRES,4-3,1,1,4,5,6,6,3,6,4,6,4
nomEtudiant_005,prenomEtudiant_005,PRES,5-1,3,5,16,2,4,4,3,6,4,5,4
nomEtudiant_005,prenomEtudiant_005,PRES,5-2,3,5,17,4,3,4,4,5,3,2,5
nomEtudiant_005,prenomEtudiant_005,PRES,5-3,3,5,19,5,5,5,6,6,5,6,5
nomEtudiant_006,prenomEtudiant_006,PRES,6-1,1,2,5,5,6,6,5,6,6,5,6
nomEtudiant_006,prenomEtudiant_006,PRES,6-2,1,2,6,5,5,4,3,5,1,6,2
nomEtudiant_006,prenomEtudiant_006,PRES,6-3,1,2,7,6,6,5,5,6,6,6,6
nomEtudiant_007,prenomEtudiant_007,PRES,7-1,1,1,1,4,5,5,5,3,3,4,5
nomEtudiant_007,prenomEtudiant_007,PRES,7-2,1,1,2,6,5,5,4,6,6,4,5
nomEtudiant_007,prenomEtudiant_007,PRES,7-3,1,1,3,4,4,5,5,5,3,5,6
nomEtudiant_008,prenomEtudiant_008,PRES,8-1,2,4,14,5,3,4,6,6,2,3,4
nomEtudiant_008,prenomEtudiant_008,PRES,8-2,2,4,15,1,1,5,5,6,3,2,6
nomEtudiant_008,prenomEtudiant_008,PRES,8-3,2,4,12,0,1,6,3,6,4,6,6
nomEtudiant_009,prenomEtudiant_009,PRES,9-1,1,2,5,5,5,4,6,6,5,4,6
nomEtudiant_009,prenomEtudiant_009,PRES,9-2,1,2,7,6,6,6,6,6,6,6,6
nomEtudiant_009,prenomEtudiant_009,PRES,9-3,1,2,8,4,4,6,6,6,6,6,5
nomEtudiant_010,prenomEtudiant_010,PRES,10-1,2,4,14,4,5,4,5,4,4,3,5
